CityCode,City,TenureCode,Tenure,CompositionCode,Composition,Observation
E09000001,City of London,-8,Does not apply,-8,Does not apply,0
E09000001,City of London,-8,Does not apply,1,One-person household: Aged 66 years and over,0
E09000001,City of London,-8,Does not apply,2,One-person household: Other,0
E09000001,City of London,-8,Does not apply,3,Single family household: All aged 66 years and over,0
E09000001,City of London,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
E09000001,City of London,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
E09000001,City of London,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
E09000001,City of London,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
E09000001,City of London,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
E09000001,City of London,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
E09000001,City of London,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
E09000001,City of London,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
E09000001,City of London,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
E09000001,City of London,-8,Does not apply,13,Other household types: With dependent children,0
E09000001,City of London,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
E09000001,City of London,0,Owned: Owns outright,-8,Does not apply,0
E09000001,City of London,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,302
E09000001,City of London,0,Owned: Owns outright,2,One-person household: Other,294
E09000001,City of London,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,163
E09000001,City of London,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,131
E09000001,City of London,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,41
E09000001,City of London,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,29
E09000001,City of London,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,70
E09000001,City of London,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,6
E09000001,City of London,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,0
E09000001,City of London,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,6
E09000001,City of London,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,19
E09000001,City of London,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,18
E09000001,City of London,0,Owned: Owns outright,13,Other household types: With dependent children,1
E09000001,City of London,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",33
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,23
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,299
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,14
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,124
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,83
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,5
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,70
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,17
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,2
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,9
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,9
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,2
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,5
E09000001,City of London,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",29
E09000001,City of London,2,Rented: Social rented,-8,Does not apply,0
E09000001,City of London,2,Rented: Social rented,1,One-person household: Aged 66 years and over,130
E09000001,City of London,2,Rented: Social rented,2,One-person household: Other,252
E09000001,City of London,2,Rented: Social rented,3,Single family household: All aged 66 years and over,18
E09000001,City of London,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,35
E09000001,City of London,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,64
E09000001,City of London,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,23
E09000001,City of London,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,31
E09000001,City of London,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,16
E09000001,City of London,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,7
E09000001,City of London,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,52
E09000001,City of London,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,40
E09000001,City of London,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,9
E09000001,City of London,2,Rented: Social rented,13,Other household types: With dependent children,19
E09000001,City of London,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",33
E09000001,City of London,3,Private rented or lives rent free,-8,Does not apply,0
